

Performance Summary

,All Trades,Long Trades,Short Trades,
10/4/2018,$90.00,0.09%,n/a,1,100.00%,
10/3/2018,$70.00,0.07%,n/a,1,100.00%,
9/27/2018,($320.00),-0.31%,0.00,1,0.00%,
9/26/2018,($250.00),-0.24%,0.00,1,0.00%,
9/25/2018,($280.00),-0.27%,0.00,1,0.00%,
9/24/2018,($950.00),-0.91%,0.00,2,0.00%,
9/23/2018,$0.00,0.00%,n/a,1,0.00%,
9/22/2018,$0.00,0.00%,n/a,1,0.00%,
9/21/2018,$450.00,0.43%,n/a,1,100.00%,
9/20/2018,($110.00),-0.11%,0.00,1,0.00%,
9/19/2018,$640.00,0.62%,n/a,1,100.00%,
9/18/2018,($180.00),-0.17%,0.00,1,0.00%,
9/17/2018,($160.00),-0.15%,0.00,1,0.00%,
9/16/2018,$0.00,0.00%,n/a,1,0.00%,
9/15/2018,$0.00,0.00%,n/a,1,0.00%,
9/14/2018,$950.00,0.92%,n/a,1,100.00%,
9/13/2018,$120.00,0.12%,n/a,1,100.00%,
9/12/2018,($370.00),-0.36%,0.00,1,0.00%,
9/11/2018,$70.00,0.07%,n/a,1,100.00%,
9/10/2018,($300.00),-0.29%,0.00,1,0.00%,
9/9/2018,$0.00,0.00%,n/a,1,0.00%,
9/8/2018,$0.00,0.00%,n/a,1,0.00%,
9/7/2018,$140.00,0.14%,n/a,1,100.00%,
9/6/2018,$220.00,0.21%,n/a,1,100.00%,
9/5/2018,$210.00,0.20%,n/a,1,100.00%,
9/4/2018,$60.00,0.06%,n/a,1,100.00%,
9/3/2018,$0.00,0.00%,n/a,1,0.00%,
9/2/2018,$0.00,0.00%,n/a,1,0.00%,
9/1/2018,$0.00,0.00%,n/a,1,0.00%,
8/31/2018,($470.00),-0.46%,0.00,1,0.00%,
8/30/2018,$110.00,0.11%,n/a,1,100.00%,
8/24/2018,$40.00,0.04%,n/a,1,100.00%,
8/23/2018,$240.00,0.23%,n/a,1,100.00%,
8/22/2018,$540.00,0.53%,n/a,1,100.00%,
8/21/2018,$760.00,0.75%,n/a,1,100.00%,
8/20/2018,$450.00,0.45%,n/a,1,100.00%,
8/19/2018,$0.00,0.00%,n/a,1,0.00%,
8/18/2018,$0.00,0.00%,n/a,1,0.00%,
8/17/2018,($80.00),-0.08%,0.00,1,0.00%,
8/16/2018,$110.00,0.11%,n/a,1,100.00%,
8/15/2018,($60.00),-0.06%,0.00,1,0.00%,
8/14/2018,$220.00,0.22%,n/a,1,100.00%,
8/13/2018,$80.00,0.08%,n/a,1,100.00%,
8/12/2018,$0.00,0.00%,n/a,1,0.00%,
8/11/2018,$0.00,0.00%,n/a,1,0.00%,
8/10/2018,($90.00),-0.09%,0.00,1,0.00%,
8/9/2018,($160.00),-0.16%,0.00,1,0.00%,
8/8/2018,$50.00,0.05%,n/a,1,100.00%,
8/7/2018,($280.00),-0.28%,0.00,1,0.00%,
8/6/2018,$180.00,0.18%,n/a,1,100.00%,
7/31/2018,($860.00),-0.84%,0.00,1,0.00%,
7/30/2018,($140.00),-0.14%,0.00,1,0.00%,
7/24/2018,$410.00,0.40%,n/a,1,100.00%,
7/23/2018,$450.00,0.44%,n/a,1,100.00%,
7/22/2018,$0.00,0.00%,n/a,1,0.00%,
7/21/2018,$0.00,0.00%,n/a,1,0.00%,
7/20/2018,($310.00),-0.31%,0.00,1,0.00%,
7/19/2018,$330.00,0.33%,n/a,1,100.00%,
7/18/2018,$700.00,0.70%,n/a,1,100.00%,
7/17/2018,($170.00),-0.17%,0.00,1,0.00%,
7/16/2018,$590.00,0.59%,n/a,1,100.00%,
,,,,,,
Mark-To-Market Rolling Period Analysis:,,,,,,
Period,Net Profit,% Gain,Profit Factor,# Trades,% Profitable,
5/12/2023 - 5/12/2023,$290.00,0.28%,n/a,1,100.00%,
5/11/2023 - 5/12/2023,$540.00,0.52%,n/a,1,100.00%,
5/10/2023 - 5/12/2023,$250.00,0.24%,n/a,1,100.00%,
5/9/2023 - 5/12/2023,($170.00),-0.16%,0.00,1,0.00%,
5/8/2023 - 5/12/2023,($370.00),-0.35%,0.00,1,0.00%,
5/7/2023 - 5/12/2023,($370.00),-0.35%,0.00,1,0.00%,
5/6/2023 - 5/12/2023,($370.00),-0.35%,0.00,1,0.00%,
5/5/2023 - 5/12/2023,($600.00),-0.57%,0.00,1,0.00%,
5/4/2023 - 5/12/2023,($1100.00),-1.05%,0.00,1,0.00%,
5/3/2023 - 5/12/2023,($890.00),-0.85%,0.00,1,0.00%,
5/2/2023 - 5/12/2023,($480.00),-0.46%,0.00,1,0.00%,
5/1/2023 - 5/12/2023,($410.00),-0.39%,0.00,1,0.00%,
4/30/2023 - 5/12/2023,($410.00),-0.39%,0.00,1,0.00%,
4/29/2023 - 5/12/2023,($410.00),-0.39%,0.00,1,0.00%,
4/28/2023 - 5/12/2023,($530.00),-0.51%,0.00,1,0.00%,
4/27/2023 - 5/12/2023,($280.00),-0.27%,0.00,1,0.00%,
4/26/2023 - 5/12/2023,($580.00),-0.56%,0.00,1,0.00%,
4/25/2023 - 5/12/2023,$10.00,0.01%,n/a,1,100.00%,
4/24/2023 - 5/12/2023,($130.00),-0.13%,0.00,1,0.00%,
4/23/2023 - 5/12/2023,($130.00),-0.13%,0.00,1,0.00%,
4/22/2023 - 5/12/2023,($130.00),-0.13%,0.00,1,0.00%,
4/21/2023 - 5/12/2023,($130.00),-0.13%,0.00,1,0.00%,
4/20/2023 - 5/12/2023,($130.00),-0.13%,0.00,1,0.00%,
4/19/2023 - 5/12/2023,($130.00),-0.13%,0.00,1,0.00%,
4/18/2023 - 5/12/2023,($690.00),-0.66%,0.00,2,0.00%,
4/17/2023 - 5/12/2023,($970.00),-0.93%,0.00,2,0.00%,
4/16/2023 - 5/12/2023,($970.00),-0.93%,0.00,2,0.00%,
4/15/2023 - 5/12/2023,($970.00),-0.93%,0.00,2,0.00%,
4/14/2023 - 5/12/2023,($670.00),-0.64%,0.00,2,0.00%,
4/13/2023 - 5/12/2023,($1190.00),-1.13%,0.00,2,0.00%,
4/12/2023 - 5/12/2023,($930.00),-0.89%,0.00,2,0.00%,
4/11/2023 - 5/12/2023,($1320.00),-1.25%,0.00,2,0.00%,
4/10/2023 - 5/12/2023,($1250.00),-1.19%,0.00,2,0.00%,
4/9/2023 - 5/12/2023,($1250.00),-1.19%,0.00,2,0.00%,
4/8/2023 - 5/12/2023,($1250.00),-1.19%,0.00,2,0.00%,
4/7/2023 - 5/12/2023,($1250.00),-1.19%,0.00,2,0.00%,
4/6/2023 - 5/12/2023,($1300.00),-1.24%,0.00,2,0.00%,
4/5/2023 - 5/12/2023,($1220.00),-1.16%,0.00,2,0.00%,
4/4/2023 - 5/12/2023,($1760.00),-1.67%,0.00,2,0.00%,
4/3/2023 - 5/12/2023,($1040.00),-0.99%,0.00,2,0.00%,
4/2/2023 - 5/12/2023,($1040.00),-0.99%,0.00,2,0.00%,
4/1/2023 - 5/12/2023,($1040.00),-0.99%,0.00,2,0.00%,
3/31/2023 - 5/12/2023,($1130.00),-1.08%,0.00,2,0.00%,
3/30/2023 - 5/12/2023,($1130.00),-1.08%,0.00,2,0.00%,
3/29/2023 - 5/12/2023,($1130.00),-1.08%,0.00,2,0.00%,
3/28/2023 - 5/12/2023,($1130.00),-1.08%,0.00,2,0.00%,
3/27/2023 - 5/12/2023,($1130.00),-1.08%,0.00,2,0.00%,
3/26/2023 - 5/12/2023,($1130.00),-1.08%,0.00,2,0.00%,
3/25/2023 - 5/12/2023,($1130.00),-1.08%,0.00,2,0.00%,
3/24/2023 - 5/12/2023,($1130.00),-1.08%,0.00,2,0.00%,
3/23/2023 - 5/12/2023,($1130.00),-1.08%,0.00,2,0.00%,
3/22/2023 - 5/12/2023,($1130.00),-1.08%,0.00,2,0.00%,
3/21/2023 - 5/12/2023,($1130.00),-1.08%,0.00,2,0.00%,
3/20/2023 - 5/12/2023,($1130.00),-1.08%,0.00,2,0.00%,
3/19/2023 - 5/12/2023,($1130.00),-1.08%,0.00,2,0.00%,
3/18/2023 - 5/12/2023,($1130.00),-1.08%,0.00,2,0.00%,
3/17/2023 - 5/12/2023,($1130.00),-1.08%,0.00,2,0.00%,
3/16/2023 - 5/12/2023,($1130.00),-1.08%,0.00,2,0.00%,
3/15/2023 - 5/12/2023,($1130.00),-1.08%,0.00,2,0.00%,
3/14/2023 - 5/12/2023,($1130.00),-1.08%,0.00,2,0.00%,
3/13/2023 - 5/12/2023,($1130.00),-1.08%,0.00,2,0.00%,
3/12/2023 - 5/12/2023,($1130.00),-1.08%,0.00,2,0.00%,
3/11/2023 - 5/12/2023,($1130.00),-1.08%,0.00,2,0.00%,
3/10/2023 - 5/12/2023,($1130.00),-1.08%,0.00,2,0.00%,
3/9/2023 - 5/12/2023,($1130.00),-1.08%,0.00,2,0.00%,
3/8/2023 - 5/12/2023,($1130.00),-1.08%,0.00,2,0.00%,
3/7/2023 - 5/12/2023,($1130.00),-1.08%,0.00,2,0.00%,
3/6/2023 - 5/12/2023,($1130.00),-1.08%,0.00,2,0.00%,
3/5/2023 - 5/12/2023,($1130.00),-1.08%,0.00,2,0.00%,
3/4/2023 - 5/12/2023,($1130.00),-1.08%,0.00,2,0.00%,
3/3/2023 - 5/12/2023,($1130.00),-1.08%,0.00,2,0.00%,
3/2/2023 - 5/12/2023,($1130.00),-1.08%,0.00,2,0.00%,
3/1/2023 - 5/12/2023,($570.00),-0.55%,0.50,3,33.33%,
2/28/2023 - 5/12/2023,($120.00),-0.12%,0.89,3,33.33%,
2/27/2023 - 5/12/2023,($10.00),-0.01%,0.99,3,33.33%,
2/26/2023 - 5/12/2023,($10.00),-0.01%,0.99,3,33.33%,
2/25/2023 - 5/12/2023,($10.00),-0.01%,0.99,3,33.33%,
2/24/2023 - 5/12/2023,($330.00),-0.32%,0.71,3,33.33%,
2/23/2023 - 5/12/2023,($330.00),-0.32%,0.71,3,33.33%,
2/22/2023 - 5/12/2023,($520.00),-0.50%,0.54,3,33.33%,
2/21/2023 - 5/12/2023,($360.00),-0.35%,0.68,3,33.33%,
2/20/2023 - 5/12/2023,($360.00),-0.35%,0.68,3,33.33%,
2/19/2023 - 5/12/2023,($360.00),-0.35%,0.68,3,33.33%,
2/18/2023 - 5/12/2023,($360.00),-0.35%,0.68,3,33.33%,
2/17/2023 - 5/12/2023,($380.00),-0.36%,0.66,3,33.33%,
2/16/2023 - 5/12/2023,$80.00,0.08%,1.07,3,33.33%,
2/15/2023 - 5/12/2023,$460.00,0.44%,1.41,3,33.33%,
2/14/2023 - 5/12/2023,$790.00,0.77%,1.70,3,33.33%,
2/13/2023 - 5/12/2023,$1200.00,1.17%,2.06,3,33.33%,
2/12/2023 - 5/12/2023,$1200.00,1.17%,2.06,3,33.33%,
2/11/2023 - 5/12/2023,$1200.00,1.17%,2.06,3,33.33%,
2/10/2023 - 5/12/2023,$1280.00,1.25%,2.13,3,33.33%,
2/9/2023 - 5/12/2023,$1350.00,1.32%,2.19,3,33.33%,
2/8/2023 - 5/12/2023,$1260.00,1.23%,2.12,3,33.33%,
2/7/2023 - 5/12/2023,$1270.00,1.24%,2.12,3,33.33%,
2/6/2023 - 5/12/2023,$1470.00,1.44%,2.30,3,33.33%,
2/5/2023 - 5/12/2023,$1470.00,1.44%,2.30,3,33.33%,
2/4/2023 - 5/12/2023,$1470.00,1.44%,2.30,3,33.33%,
2/3/2023 - 5/12/2023,$1230.00,1.20%,2.09,3,33.33%,
2/2/2023 - 5/12/2023,$1330.00,1.30%,2.18,3,33.33%,
2/1/2023 - 5/12/2023,$1310.00,1.28%,2.16,3,33.33%,
1/31/2023 - 5/12/2023,$900.00,0.87%,1.80,3,33.33%,
1/30/2023 - 5/12/2023,$890.00,0.86%,1.79,3,33.33%,
1/29/2023 - 5/12/2023,$890.00,0.86%,1.79,3,33.33%,
1/28/2023 - 5/12/2023,$890.00,0.86%,1.79,3,33.33%,
1/27/2023 - 5/12/2023,$810.00,0.79%,1.72,3,33.33%,
1/26/2023 - 5/12/2023,$490.00,0.47%,1.32,4,25.00%,
1/25/2023 - 5/12/2023,$600.00,0.58%,1.43,4,25.00%,
1/24/2023 - 5/12/2023,$700.00,0.68%,1.54,4,25.00%,
1/23/2023 - 5/12/2023,$390.00,0.38%,1.24,4,25.00%,
1/22/2023 - 5/12/2023,$390.00,0.38%,1.24,4,25.00%,
1/21/2023 - 5/12/2023,$390.00,0.38%,1.24,4,25.00%,
1/20/2023 - 5/12/2023,$310.00,0.30%,1.18,4,25.00%,
1/19/2023 - 5/12/2023,$860.00,0.83%,1.75,4,25.00%,
1/18/2023 - 5/12/2023,$1120.00,1.09%,1.99,4,50.00%,
1/17/2023 - 5/12/2023,$1210.00,1.18%,2.07,4,50.00%,
1/16/2023 - 5/12/2023,$1210.00,1.18%,2.07,4,50.00%,
1/15/2023 - 5/12/2023,$1210.00,1.18%,2.07,4,50.00%,
1/14/2023 - 5/12/2023,$1210.00,1.18%,2.07,4,50.00%,
1/13/2023 - 5/12/2023,$1100.00,1.07%,1.97,4,50.00%,
1/12/2023 - 5/12/2023,$1010.00,0.98%,1.89,4,50.00%,
1/11/2023 - 5/12/2023,$720.00,0.70%,1.56,4,25.00%,
1/10/2023 - 5/12/2023,$1520.00,1.49%,2.35,4,50.00%,
1/9/2023 - 5/12/2023,$710.00,0.69%,1.55,4,25.00%,
1/8/2023 - 5/12/2023,$710.00,0.69%,1.55,4,25.00%,
1/7/2023 - 5/12/2023,$710.00,0.69%,1.55,4,25.00%,
1/6/2023 - 5/12/2023,$870.00,0.84%,1.77,4,25.00%,
1/5/2023 - 5/12/2023,$730.00,0.71%,1.57,4,25.00%,
1/4/2023 - 5/12/2023,$730.00,0.71%,1.57,4,25.00%,
1/3/2023 - 5/12/2023,$730.00,0.71%,1.57,4,25.00%,
1/2/2023 - 5/12/2023,$730.00,0.71%,1.57,4,25.00%,
1/1/2023 - 5/12/2023,$730.00,0.71%,1.57,4,25.00%,
12/31/2022 - 5/12/2023,$730.00,0.71%,1.57,4,25.00%,
12/30/2022 - 5/12/2023,$730.00,0.71%,1.57,4,25.00%,
12/29/2022 - 5/12/2023,$730.00,0.71%,1.57,4,25.00%,
12/28/2022 - 5/12/2023,$730.00,0.71%,1.57,4,25.00%,
12/27/2022 - 5/12/2023,$730.00,0.71%,1.57,4,25.00%,
12/26/2022 - 5/12/2023,$730.00,0.71%,1.57,4,25.00%,
12/25/2022 - 5/12/2023,$730.00,0.71%,1.57,4,25.00%,
12/24/2022 - 5/12/2023,$730.00,0.71%,1.57,4,25.00%,
12/23/2022 - 5/12/2023,$730.00,0.71%,1.57,4,25.00%,
12/22/2022 - 5/12/2023,($130.00),-0.13%,0.94,5,20.00%,
12/21/2022 - 5/12/2023,($520.00),-0.50%,0.79,5,20.00%,
12/20/2022 - 5/12/2023,($510.00),-0.49%,0.80,5,20.00%,
12/19/2022 - 5/12/2023,($770.00),-0.74%,0.72,5,20.00%,
12/18/2022 - 5/12/2023,($770.00),-0.74%,0.72,5,20.00%,
12/17/2022 - 5/12/2023,($770.00),-0.74%,0.72,5,20.00%,
12/16/2022 - 5/12/2023,($270.00),-0.26%,0.88,5,20.00%,
12/15/2022 - 5/12/2023,($130.00),-0.13%,0.94,5,20.00%,
12/14/2022 - 5/12/2023,($220.00),-0.21%,0.90,5,20.00%,
12/13/2022 - 5/12/2023,($410.00),-0.39%,0.83,5,20.00%,
12/12/2022 - 5/12/2023,($430.00),-0.41%,0.82,5,20.00%,
12/11/2022 - 5/12/2023,($430.00),-0.41%,0.82,5,20.00%,
12/10/2022 - 5/12/2023,($430.00),-0.41%,0.82,5,20.00%,
12/9/2022 - 5/12/2023,$10.00,0.01%,1.01,5,20.00%,
12/8/2022 - 5/12/2023,($450.00),-0.43%,0.82,5,20.00%,
12/7/2022 - 5/12/2023,($590.00),-0.56%,0.77,5,20.00%,
12/6/2022 - 5/12/2023,($740.00),-0.71%,0.73,5,20.00%,
12/5/2022 - 5/12/2023,($90.00),-0.09%,0.96,5,20.00%,
12/4/2022 - 5/12/2023,($90.00),-0.09%,0.96,5,20.00%,
12/3/2022 - 5/12/2023,($90.00),-0.09%,0.96,5,20.00%,
12/2/2022 - 5/12/2023,($170.00),-0.16%,0.92,5,20.00%,
12/1/2022 - 5/12/2023,($500.00),-0.48%,0.80,5,20.00%,
11/30/2022 - 5/12/2023,($800.00),-0.76%,0.71,5,20.00%,
11/29/2022 - 5/12/2023,($650.00),-0.62%,0.75,5,20.00%,
11/28/2022 - 5/12/2023,($760.00),-0.73%,0.72,5,20.00%,
11/27/2022 - 5/12/2023,($760.00),-0.73%,0.72,5,20.00%,
11/26/2022 - 5/12/2023,($760.00),-0.73%,0.72,5,20.00%,
11/25/2022 - 5/12/2023,($1130.00),-1.08%,0.64,5,20.00%,
11/24/2022 - 5/12/2023,($1130.00),-1.08%,0.64,5,20.00%,
11/23/2022 - 5/12/2023,($1100.00),-1.05%,0.65,5,20.00%,
11/22/2022 - 5/12/2023,($1000.00),-0.95%,0.67,5,20.00%,
11/21/2022 - 5/12/2023,($850.00),-0.81%,0.70,5,20.00%,
11/20/2022 - 5/12/2023,($850.00),-0.81%,0.70,5,20.00%,
11/19/2022 - 5/12/2023,($850.00),-0.81%,0.70,5,20.00%,
11/18/2022 - 5/12/2023,($980.00),-0.93%,0.67,5,20.00%,
11/17/2022 - 5/12/2023,($400.00),-0.38%,0.83,5,20.00%,
11/16/2022 - 5/12/2023,($470.00),-0.45%,0.81,5,20.00%,
11/15/2022 - 5/12/2023,($520.00),-0.50%,0.79,5,20.00%,
11/14/2022 - 5/12/2023,($290.00),-0.28%,0.87,5,20.00%,
11/13/2022 - 5/12/2023,($290.00),-0.28%,0.87,5,20.00%,
11/12/2022 - 5/12/2023,($290.00),-0.28%,0.87,5,20.00%,
11/11/2022 - 5/12/2023,($270.00),-0.26%,0.88,5,20.00%,
11/10/2022 - 5/12/2023,($270.00),-0.26%,0.88,5,20.00%,
11/9/2022 - 5/12/2023,($270.00),-0.26%,0.88,5,20.00%,
11/8/2022 - 5/12/2023,($270.00),-0.26%,0.88,5,20.00%,
11/7/2022 - 5/12/2023,($270.00),-0.26%,0.88,5,20.00%,
11/6/2022 - 5/12/2023,($270.00),-0.26%,0.88,5,20.00%,
11/5/2022 - 5/12/2023,($270.00),-0.26%,0.88,5,20.00%,
11/4/2022 - 5/12/2023,($270.00),-0.26%,0.88,5,20.00%,
11/3/2022 - 5/12/2023,($270.00),-0.26%,0.88,5,20.00%,
11/2/2022 - 5/12/2023,($270.00),-0.26%,0.88,5,20.00%,
11/1/2022 - 5/12/2023,($270.00),-0.26%,0.88,5,20.00%,
10/31/2022 - 5/12/2023,($270.00),-0.26%,0.88,5,20.00%,
10/30/2022 - 5/12/2023,($270.00),-0.26%,0.88,5,20.00%,
10/29/2022 - 5/12/2023,($270.00),-0.26%,0.88,5,20.00%,
10/28/2022 - 5/12/2023,($270.00),-0.26%,0.88,5,20.00%,
10/27/2022 - 5/12/2023,($270.00),-0.26%,0.88,5,20.00%,
10/26/2022 - 5/12/2023,($270.00),-0.26%,0.88,5,20.00%,
10/25/2022 - 5/12/2023,($270.00),-0.26%,0.88,5,20.00%,
10/24/2022 - 5/12/2023,($270.00),-0.26%,0.88,5,20.00%,
10/23/2022 - 5/12/2023,($270.00),-0.26%,0.88,5,20.00%,
10/22/2022 - 5/12/2023,($270.00),-0.26%,0.88,5,20.00%,
10/21/2022 - 5/12/2023,($270.00),-0.26%,0.88,5,20.00%,
10/20/2022 - 5/12/2023,($270.00),-0.26%,0.88,5,20.00%,
10/19/2022 - 5/12/2023,($270.00),-0.26%,0.88,5,20.00%,
10/18/2022 - 5/12/2023,($270.00),-0.26%,0.88,5,20.00%,
10/17/2022 - 5/12/2023,($270.00),-0.26%,0.88,5,20.00%,
10/16/2022 - 5/12/2023,($270.00),-0.26%,0.88,5,20.00%,
10/15/2022 - 5/12/2023,($270.00),-0.26%,0.88,5,20.00%,
10/14/2022 - 5/12/2023,($270.00),-0.26%,0.88,5,20.00%,
10/13/2022 - 5/12/2023,($270.00),-0.26%,0.88,5,20.00%,
10/12/2022 - 5/12/2023,($270.00),-0.26%,0.88,5,20.00%,
10/11/2022 - 5/12/2023,($270.00),-0.26%,0.88,5,20.00%,
10/10/2022 - 5/12/2023,($270.00),-0.26%,0.88,5,20.00%,
10/9/2022 - 5/12/2023,($270.00),-0.26%,0.88,5,20.00%,
10/8/2022 - 5/12/2023,($270.00),-0.26%,0.88,5,20.00%,
10/7/2022 - 5/12/2023,($270.00),-0.26%,0.88,5,20.00%,
10/6/2022 - 5/12/2023,($270.00),-0.26%,0.88,5,20.00%,
10/5/2022 - 5/12/2023,($270.00),-0.26%,0.88,5,20.00%,
10/4/2022 - 5/12/2023,($270.00),-0.26%,0.88,5,20.00%,
10/3/2022 - 5/12/2023,($270.00),-0.26%,0.88,5,20.00%,
10/2/2022 - 5/12/2023,($270.00),-0.26%,0.88,5,20.00%,
10/1/2022 - 5/12/2023,($270.00),-0.26%,0.88,5,20.00%,
9/30/2022 - 5/12/2023,($270.00),-0.26%,0.88,5,20.00%,
9/29/2022 - 5/12/2023,($270.00),-0.26%,0.88,5,20.00%,
9/28/2022 - 5/12/2023,($270.00),-0.26%,0.88,5,20.00%,
9/27/2022 - 5/12/2023,($270.00),-0.26%,0.88,5,20.00%,
9/26/2022 - 5/12/2023,($270.00),-0.26%,0.88,5,20.00%,
9/25/2022 - 5/12/2023,($270.00),-0.26%,0.88,5,20.00%,
9/24/2022 - 5/12/2023,($270.00),-0.26%,0.88,5,20.00%,
9/23/2022 - 5/12/2023,($800.00),-0.76%,0.71,6,16.67%,
9/22/2022 - 5/12/2023,($1010.00),-0.96%,0.66,6,16.67%,
9/21/2022 - 5/12/2023,($1050.00),-1.00%,0.66,6,16.67%,
9/20/2022 - 5/12/2023,($1290.00),-1.23%,0.61,6,16.67%,
9/19/2022 - 5/12/2023,($1140.00),-1.09%,0.64,6,16.67%,
9/18/2022 - 5/12/2023,($1140.00),-1.09%,0.64,6,16.67%,
9/17/2022 - 5/12/2023,($1140.00),-1.09%,0.64,6,16.67%,
9/16/2022 - 5/12/2023,($1250.00),-1.19%,0.62,6,16.67%,
9/15/2022 - 5/12/2023,($1270.00),-1.21%,0.61,6,16.67%,
9/14/2022 - 5/12/2023,($1270.00),-1.21%,0.61,6,16.67%,
9/13/2022 - 5/12/2023,($1270.00),-1.21%,0.61,6,16.67%,
9/12/2022 - 5/12/2023,($1270.00),-1.21%,0.61,6,16.67%,
9/11/2022 - 5/12/2023,($1270.00),-1.21%,0.61,6,16.67%,
9/10/2022 - 5/12/2023,($1270.00),-1.21%,0.61,6,16.67%,
9/9/2022 - 5/12/2023,($1270.00),-1.21%,0.61,6,16.67%,
9/8/2022 - 5/12/2023,($1270.00),-1.21%,0.61,6,16.67%,
9/7/2022 - 5/12/2023,($1270.00),-1.21%,0.61,6,16.67%,
9/6/2022 - 5/12/2023,($1270.00),-1.21%,0.61,6,16.67%,
9/5/2022 - 5/12/2023,($1270.00),-1.21%,0.61,6,16.67%,
9/4/2022 - 5/12/2023,($1270.00),-1.21%,0.61,6,16.67%,
9/3/2022 - 5/12/2023,($1270.00),-1.21%,0.61,6,16.67%,
9/2/2022 - 5/12/2023,($1270.00),-1.21%,0.61,6,16.67%,
9/1/2022 - 5/12/2023,($1270.00),-1.21%,0.61,6,16.67%,
8/31/2022 - 5/12/2023,($1270.00),-1.21%,0.61,6,16.67%,
8/30/2022 - 5/12/2023,($1270.00),-1.21%,0.61,6,16.67%,
8/29/2022 - 5/12/2023,($1270.00),-1.21%,0.61,6,16.67%,
8/28/2022 - 5/12/2023,($1270.00),-1.21%,0.61,6,16.67%,
8/27/2022 - 5/12/2023,($1270.00),-1.21%,0.61,6,16.67%,
8/26/2022 - 5/12/2023,($1270.00),-1.21%,0.61,6,16.67%,
8/25/2022 - 5/12/2023,($1270.00),-1.21%,0.61,6,16.67%,
8/24/2022 - 5/12/2023,($1270.00),-1.21%,0.61,6,16.67%,
8/23/2022 - 5/12/2023,($1270.00),-1.21%,0.61,6,16.67%,
8/22/2022 - 5/12/2023,($1270.00),-1.21%,0.61,6,16.67%,
8/21/2022 - 5/12/2023,($1270.00),-1.21%,0.61,6,16.67%,
8/20/2022 - 5/12/2023,($1270.00),-1.21%,0.61,6,16.67%,
8/19/2022 - 5/12/2023,($1270.00),-1.21%,0.61,6,16.67%,
8/18/2022 - 5/12/2023,($1270.00),-1.21%,0.61,6,16.67%,
8/17/2022 - 5/12/2023,($1270.00),-1.21%,0.61,6,16.67%,
8/16/2022 - 5/12/2023,($1270.00),-1.21%,0.61,6,16.67%,
8/15/2022 - 5/12/2023,($1270.00),-1.21%,0.61,6,16.67%,
8/14/2022 - 5/12/2023,($1270.00),-1.21%,0.61,6,16.67%,
8/13/2022 - 5/12/2023,($1270.00),-1.21%,0.61,6,16.67%,
8/12/2022 - 5/12/2023,($1270.00),-1.21%,0.61,6,16.67%,
8/11/2022 - 5/12/2023,($1270.00),-1.21%,0.61,6,16.67%,
8/10/2022 - 5/12/2023,($1270.00),-1.21%,0.61,6,16.67%,
8/9/2022 - 5/12/2023,($1270.00),-1.21%,0.61,6,16.67%,
8/8/2022 - 5/12/2023,($1270.00),-1.21%,0.61,6,16.67%,
8/7/2022 - 5/12/2023,($1270.00),-1.21%,0.61,6,16.67%,
8/6/2022 - 5/12/2023,($1270.00),-1.21%,0.61,6,16.67%,
8/5/2022 - 5/12/2023,($1270.00),-1.21%,0.61,6,16.67%,
8/4/2022 - 5/12/2023,($1370.00),-1.30%,0.59,7,14.29%,
8/3/2022 - 5/12/2023,($1920.00),-1.82%,0.51,7,14.29%,
8/2/2022 - 5/12/2023,($2050.00),-1.94%,0.49,7,14.29%,
8/1/2022 - 5/12/2023,($1950.00),-1.84%,0.51,7,14.29%,
7/31/2022 - 5/12/2023,($1950.00),-1.84%,0.51,7,14.29%,
7/30/2022 - 5/12/2023,($1950.00),-1.84%,0.51,7,14.29%,
7/29/2022 - 5/12/2023,($1860.00),-1.76%,0.52,7,14.29%,
7/28/2022 - 5/12/2023,($2160.00),-2.04%,0.48,7,14.29%,
7/27/2022 - 5/12/2023,($2650.00),-2.49%,0.43,7,14.29%,
7/26/2022 - 5/12/2023,($2390.00),-2.25%,0.46,7,14.29%,
7/25/2022 - 5/12/2023,($2270.00),-2.14%,0.47,7,14.29%,
7/24/2022 - 5/12/2023,($2270.00),-2.14%,0.47,7,14.29%,
7/23/2022 - 5/12/2023,($2270.00),-2.14%,0.47,7,14.29%,
7/22/2022 - 5/12/2023,($2270.00),-2.14%,0.47,7,14.29%,
7/21/2022 - 5/12/2023,($2270.00),-2.14%,0.47,7,14.29%,
7/20/2022 - 5/12/2023,($2270.00),-2.14%,0.47,7,14.29%,
7/19/2022 - 5/12/2023,($2270.00),-2.14%,0.47,7,14.29%,
7/18/2022 - 5/12/2023,($2270.00),-2.14%,0.47,7,14.29%,
7/17/2022 - 5/12/2023,($2270.00),-2.14%,0.47,7,14.29%,
7/16/2022 - 5/12/2023,($2270.00),-2.14%,0.47,7,14.29%,
7/15/2022 - 5/12/2023,($2270.00),-2.14%,0.47,7,14.29%,
7/14/2022 - 5/12/2023,($2560.00),-2.41%,0.44,8,12.50%,
7/13/2022 - 5/12/2023,($3040.00),-2.84%,0.40,8,12.50%,
7/12/2022 - 5/12/2023,($3280.00),-3.06%,0.38,8,12.50%,
7/11/2022 - 5/12/2023,($3270.00),-3.05%,0.38,8,12.50%,
7/10/2022 - 5/12/2023,($3270.00),-3.05%,0.38,8,12.50%,
7/9/2022 - 5/12/2023,($3270.00),-3.05%,0.38,8,12.50%,
