Performance Summary,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,All Trades,Long Trades,Short Trades,,,,,,,,,,,
1/30/2020,$862.50,0.67%,n/a,1,100.00%,,,,,,,,,
1/29/2020,($287.50),-0.22%,0,1,0.00%,,,,,,,,,
1/28/2020,$1937.50,1.52%,n/a,1,100.00%,,,,,,,,,
1/27/2020,($2717.50),-2.09%,0,2,0.00%,,,,,,,,,
1/26/2020,$1172.50,0.91%,n/a,1,100.00%,,,,,,,,,
1/24/2020,($1752.50),-1.34%,0,1,0.00%,,,,,,,,,
1/23/2020,$312.50,0.24%,n/a,1,100.00%,,,,,,,,,
1/22/2020,$12.50,0.01%,n/a,1,100.00%,,,,,,,,,
1/21/2020,($102.50),-0.08%,0,1,0.00%,,,,,,,,,
1/13/2020,$1210.00,0.94%,n/a,1,100.00%,,,,,,,,,
01/12/2020,($65.00),-0.05%,0,1,0.00%,,,,,,,,,
01/07/2020,($2677.50),-2.03%,0,1,0.00%,,,,,,,,,
01/06/2020,$400.00,0.30%,n/a,1,100.00%,,,,,,,,,
01/05/2020,$747.50,0.57%,n/a,1,100.00%,,,,,,,,,
12/08/2019,$10.00,0.01%,n/a,1,100.00%,,,,,,,,,
12/07/2019,$0.00,0.00%,n/a,1,0.00%,,,,,,,,,
12/06/2019,$1412.50,1.09%,n/a,1,100.00%,,,,,,,,,
12/05/2019,$337.50,0.26%,n/a,1,100.00%,,,,,,,,,
12/04/2019,$1000.00,0.78%,n/a,1,100.00%,,,,,,,,,
12/03/2019,($1162.50),-0.90%,0,1,0.00%,,,,,,,,,
12/02/2019,($1475.00),-1.13%,0,1,0.00%,,,,,,,,,
12/01/2019,$0.00,0.00%,n/a,1,0.00%,,,,,,,,,
11/30/2019,$0.00,0.00%,n/a,1,0.00%,,,,,,,,,
11/29/2019,($500.00),-0.38%,0,1,0.00%,,,,,,,,,
11/28/2019,$0.00,0.00%,n/a,1,0.00%,,,,,,,,,
11/27/2019,$500.00,0.38%,n/a,1,100.00%,,,,,,,,,
11/26/2019,$550.00,0.42%,n/a,1,100.00%,,,,,,,,,
11/25/2019,$1062.50,0.82%,n/a,1,100.00%,,,,,,,,,
11/24/2019,$0.00,0.00%,n/a,1,0.00%,,,,,,,,,
11/23/2019,$0.00,0.00%,n/a,1,0.00%,,,,,,,,,
11/22/2019,$375.00,0.29%,n/a,1,100.00%,,,,,,,,,
11/21/2019,($250.00),-0.19%,0,1,0.00%,,,,,,,,,
11/20/2019,$572.50,0.45%,n/a,1,100.00%,,,,,,,,,
11/03/2019,$60.00,0.05%,n/a,1,100.00%,,,,,,,,,
11/02/2019,$0.00,0.00%,n/a,1,0.00%,,,,,,,,,
11/01/2019,$1375.00,1.09%,n/a,1,100.00%,,,,,,,,,
10/31/2019,($27.50),-0.02%,0,1,0.00%,,,,,,,,,
10/10/2019,$1485.00,1.19%,n/a,1,100.00%,,,,,,,,,
10/09/2019,$1325.00,1.07%,n/a,1,100.00%,,,,,,,,,
10/08/2019,($65.00),-0.05%,0,1,0.00%,,,,,,,,,
9/25/2019,$760.00,0.62%,n/a,1,100.00%,,,,,,,,,
9/24/2019,($52.50),-0.04%,0,1,0.00%,,,,,,,,,
09/12/2019,$397.50,0.32%,n/a,1,100.00%,,,,,,,,,
09/11/2019,$1175.00,0.97%,n/a,1,100.00%,,,,,,,,,
09/10/2019,$12.50,0.01%,n/a,1,100.00%,,,,,,,,,
09/09/2019,($65.00),-0.05%,0,1,0.00%,,,,,,,,,
09/04/2019,$2485.00,2.08%,n/a,1,100.00%,,,,,,,,,
09/03/2019,($937.50),-0.78%,0,1,0.00%,,,,,,,,,
09/02/2019,$0.00,0.00%,n/a,1,0.00%,,,,,,,,,
09/01/2019,$0.00,0.00%,n/a,1,0.00%,,,,,,,,,
8/31/2019,$0.00,0.00%,n/a,1,0.00%,,,,,,,,,
8/30/2019,($100.00),-0.08%,0,1,0.00%,,,,,,,,,
8/29/2019,$1850.00,1.56%,n/a,1,100.00%,,,,,,,,,
8/28/2019,$1212.50,1.03%,n/a,1,100.00%,,,,,,,,,
8/27/2019,($887.50),-0.75%,0,1,0.00%,,,,,,,,,
8/26/2019,$1387.50,1.19%,n/a,1,100.00%,,,,,,,,,
8/25/2019,$0.00,0.00%,n/a,1,0.00%,,,,,,,,,
8/24/2019,$0.00,0.00%,n/a,1,0.00%,,,,,,,,,
8/23/2019,($3337.50),-2.78%,0,1,0.00%,,,,,,,,,
8/22/2019,($350.00),-0.29%,0,1,0.00%,,,,,,,,,
8/21/2019,$1550.00,1.30%,n/a,1,100.00%,,,,,,,,,
8/20/2019,($1275.00),-1.06%,0,1,0.00%,,,,,,,,,
8/19/2019,$1612.50,1.36%,n/a,1,100.00%,,,,,,,,,
8/18/2019,$0.00,0.00%,n/a,1,0.00%,,,,,,,,,
8/17/2019,$0.00,0.00%,n/a,1,0.00%,,,,,,,,,
8/16/2019,$2150.00,1.85%,n/a,1,100.00%,,,,,,,,,
8/15/2019,$387.50,0.33%,n/a,1,100.00%,,,,,,,,,
8/14/2019,$222.50,0.19%,n/a,1,100.00%,,,,,,,,,
8/13/2019,($590.00),-0.51%,0,1,0.00%,,,,,,,,,
08/12/2019,($1975.00),-1.67%,0,1,0.00%,,,,,,,,,
08/11/2019,$35.00,0.03%,n/a,1,100.00%,,,,,,,,,
08/02/2019,($1602.50),-1.34%,0,1,0.00%,,,,,,,,,
08/01/2019,($1512.50),-1.25%,0,1,0.00%,,,,,,,,,
7/31/2019,($1430.00),-1.16%,0.29,2,50.00%,,,,,,,,,
7/30/2019,($475.00),-0.39%,0,1,0.00%,,,,,,,,,
7/29/2019,($40.00),-0.03%,0,1,0.00%,,,,,,,,,
7/23/2019,$685.00,0.56%,n/a,1,100.00%,,,,,,,,,
7/22/2019,$600.00,0.49%,n/a,1,100.00%,,,,,,,,,
7/21/2019,$0.00,0.00%,n/a,1,0.00%,,,,,,,,,
7/20/2019,$0.00,0.00%,n/a,1,0.00%,,,,,,,,,
7/19/2019,($1025.00),-0.83%,0,1,0.00%,,,,,,,,,
7/18/2019,$625.00,0.51%,n/a,1,100.00%,,,,,,,,,
7/17/2019,$197.50,0.16%,n/a,1,100.00%,,,,,,,,,
07/11/2019,$260.00,0.21%,n/a,1,100.00%,,,,,,,,,
07/10/2019,$775.00,0.64%,n/a,1,100.00%,,,,,,,,,
07/09/2019,$175.00,0.14%,n/a,1,100.00%,,,,,,,,,
07/08/2019,($600.00),-0.49%,0,1,0.00%,,,,,,,,,
07/07/2019,$0.00,0.00%,n/a,1,0.00%,,,,,,,,,
07/06/2019,$0.00,0.00%,n/a,1,0.00%,,,,,,,,,
07/05/2019,($487.50),-0.40%,0,1,0.00%,,,,,,,,,
07/04/2019,$0.00,0.00%,n/a,1,0.00%,,,,,,,,,
07/03/2019,$1037.50,0.86%,n/a,1,100.00%,,,,,,,,,
07/02/2019,$587.50,0.49%,n/a,1,100.00%,,,,,,,,,
07/01/2019,$1175.00,0.98%,n/a,1,100.00%,,,,,,,,,
6/30/2019,$0.00,0.00%,n/a,1,0.00%,,,,,,,,,
6/29/2019,$0.00,0.00%,n/a,1,0.00%,,,,,,,,,
6/28/2019,$662.50,0.56%,n/a,1,100.00%,,,,,,,,,
6/27/2019,$650.00,0.55%,n/a,1,100.00%,,,,,,,,,
6/26/2019,($200.00),-0.17%,0,1,0.00%,,,,,,,,,
6/25/2019,($1500.00),-1.25%,0,1,0.00%,,,,,,,,,
6/24/2019,$75.00,0.06%,n/a,1,100.00%,,,,,,,,,
6/23/2019,$0.00,0.00%,n/a,1,0.00%,,,,,,,,,
6/22/2019,$0.00,0.00%,n/a,1,0.00%,,,,,,,,,
6/21/2019,($475.00),-0.40%,0,1,0.00%,,,,,,,,,
6/20/2019,$1325.00,1.12%,n/a,1,100.00%,,,,,,,,,
6/19/2019,$362.50,0.31%,n/a,1,100.00%,,,,,,,,,
6/18/2019,$1500.00,1.28%,n/a,1,100.00%,,,,,,,,,
6/17/2019,$75.00,0.06%,n/a,1,100.00%,,,,,,,,,
6/16/2019,$0.00,0.00%,n/a,1,0.00%,,,,,,,,,
6/15/2019,$0.00,0.00%,n/a,1,0.00%,,,,,,,,,
6/14/2019,($187.50),-0.16%,0,1,0.00%,,,,,,,,,
6/13/2019,$675.00,0.58%,n/a,1,100.00%,,,,,,,,,
06/12/2019,($300.00),-0.26%,0,1,0.00%,,,,,,,,,
06/11/2019,($40.00),-0.03%,0,1,0.00%,,,,,,,,,
06/07/2019,$747.50,0.64%,n/a,1,100.00%,,,,,,,,,
06/06/2019,$900.00,0.78%,n/a,1,100.00%,,,,,,,,,
06/05/2019,$1137.50,1.00%,n/a,1,100.00%,,,,,,,,,
06/04/2019,$2775.00,2.50%,n/a,1,100.00%,,,,,,,,,
06/03/2019,($150.00),-0.13%,0,1,0.00%,,,,,,,,,
06/02/2019,$560.00,0.51%,n/a,1,100.00%,,,,,,,,,
5/31/2019,($1740.00),-1.55%,0,1,0.00%,,,,,,,,,
5/30/2019,$525.00,0.47%,n/a,1,100.00%,,,,,,,,,
5/29/2019,($1250.00),-1.10%,0,1,0.00%,,,,,,,,,
5/28/2019,($1337.50),-1.17%,0,1,0.00%,,,,,,,,,
5/27/2019,$0.00,0.00%,n/a,1,0.00%,,,,,,,,,
5/26/2019,$0.00,0.00%,n/a,1,0.00%,,,,,,,,,
5/25/2019,$0.00,0.00%,n/a,1,0.00%,,,,,,,,,
5/24/2019,$612.50,0.54%,n/a,1,100.00%,,,,,,,,,
5/23/2019,($1900.00),-1.64%,0,1,0.00%,,,,,,,,,
5/22/2019,($425.00),-0.37%,0,1,0.00%,,,,,,,,,
5/21/2019,$1100.00,0.96%,n/a,1,100.00%,,,,,,,,,
5/20/2019,($900.00),-0.78%,0,1,0.00%,,,,,,,,,
5/19/2019,$0.00,0.00%,n/a,1,0.00%,,,,,,,,,
5/18/2019,$0.00,0.00%,n/a,1,0.00%,,,,,,,,,
5/17/2019,($825.00),-0.71%,0,1,0.00%,,,,,,,,,
5/16/2019,$1175.00,1.02%,n/a,1,100.00%,,,,,,,,,
5/15/2019,$787.50,0.69%,n/a,1,100.00%,,,,,,,,,
5/14/2019,$1612.50,1.42%,n/a,1,100.00%,,,,,,,,,
5/13/2019,$35.00,0.03%,n/a,1,100.00%,,,,,,,,,
05/10/2019,($1952.50),-1.69%,0,1,0.00%,,,,,,,,,
05/09/2019,($725.00),-0.63%,0,1,0.00%,,,,,,,,,
05/08/2019,$147.50,0.13%,n/a,1,100.00%,,,,,,,,,
05/05/2019,($1502.50),-1.28%,0,1,0.00%,,,,,,,,,
05/04/2019,$0.00,0.00%,n/a,1,0.00%,,,,,,,,,
05/03/2019,$1500.00,1.30%,n/a,1,100.00%,,,,,,,,,
05/02/2019,($275.00),-0.24%,0,1,0.00%,,,,,,,,,
05/01/2019,$310.00,0.27%,n/a,1,100.00%,,,,,,,,,
4/29/2019,$35.00,0.03%,n/a,1,100.00%,,,,,,,,,
4/28/2019,$0.00,0.00%,n/a,1,0.00%,,,,,,,,,
4/27/2019,$0.00,0.00%,n/a,1,0.00%,,,,,,,,,
4/26/2019,$762.50,0.66%,n/a,1,100.00%,,,,,,,,,
4/25/2019,($225.00),-0.20%,0,1,0.00%,,,,,,,,,
4/24/2019,$22.50,0.02%,n/a,1,100.00%,,,,,,,,,
4/16/2019,$22.50,0.02%,n/a,1,100.00%,,,,,,,,,
4/15/2019,($150.00),-0.13%,0,1,0.00%,,,,,,,,,
4/14/2019,$0.00,0.00%,n/a,1,0.00%,,,,,,,,,
4/13/2019,$0.00,0.00%,n/a,1,0.00%,,,,,,,,,
04/12/2019,$1037.50,0.91%,n/a,1,100.00%,,,,,,,,,
04/11/2019,($137.50),-0.12%,0,1,0.00%,,,,,,,,,
04/10/2019,$600.00,0.53%,n/a,1,100.00%,,,,,,,,,
04/09/2019,$10.00,0.01%,n/a,1,100.00%,,,,,,,,,
04/02/2019,$185.00,0.16%,n/a,1,100.00%,,,,,,,,,
04/01/2019,$1637.50,1.46%,n/a,1,100.00%,,,,,,,,,
3/31/2019,$0.00,0.00%,n/a,1,0.00%,,,,,,,,,
3/30/2019,$0.00,0.00%,n/a,1,0.00%,,,,,,,,,
3/29/2019,$837.50,0.75%,n/a,1,100.00%,,,,,,,,,
3/28/2019,$525.00,0.47%,n/a,1,100.00%,,,,,,,,,
3/27/2019,($625.00),-0.56%,0,1,0.00%,,,,,,,,,
3/26/2019,$800.00,0.72%,n/a,1,100.00%,,,,,,,,,
3/25/2019,($187.50),-0.17%,0,1,0.00%,,,,,,,,,
3/24/2019,$0.00,0.00%,n/a,1,0.00%,,,,,,,,,
3/23/2019,$0.00,0.00%,n/a,1,0.00%,,,,,,,,,
3/22/2019,($2587.50),-2.29%,0,1,0.00%,,,,,,,,,
3/21/2019,$1775.00,1.59%,n/a,1,100.00%,,,,,,,,,
3/20/2019,($475.00),-0.42%,0,1,0.00%,,,,,,,,,
3/19/2019,($200.00),-0.18%,0,1,0.00%,,,,,,,,,
3/18/2019,$537.50,0.48%,n/a,1,100.00%,,,,,,,,,
3/17/2019,$0.00,0.00%,n/a,1,0.00%,,,,,,,,,
3/16/2019,$0.00,0.00%,n/a,1,0.00%,,,,,,,,,
3/15/2019,$875.00,0.79%,n/a,1,100.00%,,,,,,,,,
3/14/2019,($362.50),-0.33%,0,1,0.00%,,,,,,,,,
3/13/2019,$1112.50,1.01%,n/a,1,100.00%,,,,,,,,,
03/12/2019,$412.50,0.38%,n/a,1,100.00%,,,,,,,,,
03/11/2019,$1850.00,1.72%,n/a,1,100.00%,,,,,,,,,
03/10/2019,$0.00,0.00%,n/a,1,0.00%,,,,,,,,,
03/09/2019,$0.00,0.00%,n/a,1,0.00%,,,,,,,,,
03/08/2019,($150.00),-0.14%,0,1,0.00%,,,,,,,,,
03/07/2019,$10.00,0.01%,n/a,1,100.00%,,,,,,,,,
2/27/2019,$172.50,0.16%,n/a,1,100.00%,,,,,,,,,
2/26/2019,($275.00),-0.25%,0,1,0.00%,,,,,,,,,
2/25/2019,$287.50,0.27%,n/a,1,100.00%,,,,,,,,,
2/24/2019,$0.00,0.00%,n/a,1,0.00%,,,,,,,,,
2/23/2019,$0.00,0.00%,n/a,1,0.00%,,,,,,,,,
2/22/2019,$850.00,0.80%,n/a,1,100.00%,,,,,,,,,
2/21/2019,($637.50),-0.59%,0,1,0.00%,,,,,,,,,
2/20/2019,$412.50,0.39%,n/a,1,100.00%,,,,,,,,,
2/19/2019,$87.50,0.08%,n/a,1,100.00%,,,,,,,,,
2/18/2019,$0.00,0.00%,n/a,1,0.00%,,,,,,,,,
2/17/2019,$0.00,0.00%,n/a,1,0.00%,,,,,,,,,
2/16/2019,$0.00,0.00%,n/a,1,0.00%,,,,,,,,,
2/15/2019,$1675.00,1.59%,n/a,1,100.00%,,,,,,,,,
2/14/2019,($300.00),-0.28%,0,1,0.00%,,,,,,,,,
2/13/2019,$237.50,0.23%,n/a,1,100.00%,,,,,,,,,
02/12/2019,$1825.00,1.76%,n/a,1,100.00%,,,,,,,,,
02/11/2019,$100.00,0.10%,n/a,1,100.00%,,,,,,,,,
02/10/2019,$0.00,0.00%,n/a,1,0.00%,,,,,,,,,
02/09/2019,$0.00,0.00%,n/a,1,0.00%,,,,,,,,,
02/08/2019,$112.50,0.11%,n/a,1,100.00%,,,,,,,,,
02/07/2019,($1275.00),-1.22%,0,1,0.00%,,,,,,,,,
02/06/2019,($75.00),-0.07%,0,1,0.00%,,,,,,,,,
02/05/2019,$487.50,0.47%,n/a,1,100.00%,,,,,,,,,
02/04/2019,$850.00,0.82%,n/a,1,100.00%,,,,,,,,,
02/03/2019,$235.00,0.23%,n/a,1,100.00%,,,,,,,,,
1/31/2019,$935.00,0.92%,n/a,1,100.00%,,,,,,,,,
1/30/2019,$2112.50,2.11%,n/a,1,100.00%,,,,,,,,,
1/29/2019,($87.50),-0.09%,0,1,0.00%,,,,,,,,,
1/28/2019,($1075.00),-1.06%,0,1,0.00%,,,,,,,,,
1/27/2019,$0.00,0.00%,n/a,1,0.00%,,,,,,,,,
1/26/2019,$0.00,0.00%,n/a,1,0.00%,,,,,,,,,
1/25/2019,$1475.00,1.48%,n/a,1,100.00%,,,,,,,,,
1/24/2019,($212.50),-0.21%,0,1,0.00%,,,,,,,,,
1/23/2019,$312.50,0.31%,n/a,1,100.00%,,,,,,,,,
1/22/2019,($1975.00),-1.94%,0,1,0.00%,,,,,,,,,
1/21/2019,$0.00,0.00%,n/a,1,0.00%,,,,,,,,,
1/20/2019,$0.00,0.00%,n/a,1,0.00%,,,,,,,,,
1/19/2019,$0.00,0.00%,n/a,1,0.00%,,,,,,,,,
1/18/2019,$1812.50,1.82%,n/a,1,100.00%,,,,,,,,,
1/17/2019,$1100.00,1.12%,n/a,1,100.00%,,,,,,,,,
1/16/2019,$387.50,0.39%,n/a,1,100.00%,,,,,,,,,
1/15/2019,$1250.00,1.29%,n/a,1,100.00%,,,,,,,,,
1/14/2019,($65.00),-0.07%,0,1,0.00%,,,,,,,,,
01/08/2019,$1047.50,1.09%,n/a,1,100.00%,,,,,,,,,
01/07/2019,$962.50,1.01%,n/a,1,100.00%,,,,,,,,,
01/06/2019,$0.00,0.00%,n/a,1,0.00%,,,,,,,,,
01/05/2019,$0.00,0.00%,n/a,1,0.00%,,,,,,,,,
01/04/2019,$4175.00,4.59%,n/a,1,100.00%,,,,,,,,,
01/03/2019,($3505.00),-3.71%,0,2,0.00%,,,,,,,,,
01/02/2019,$287.50,0.31%,n/a,1,100.00%,,,,,,,,,
01/01/2019,$0.00,0.00%,n/a,1,0.00%,,,,,,,,,
12/31/2018,$962.50,1.03%,n/a,1,100.00%,,,,,,,,,
12/30/2018,($490.00),-0.52%,0,1,0.00%,,,,,,,,,
12/20/2018,($2502.50),-2.60%,0,1,0.00%,,,,,,,,,
12/19/2018,($27.50),-0.03%,0,1,0.00%,,,,,,,,,
12/17/2018,($1340.00),-1.37%,0,1,0.00%,,,,,,,,,
12/16/2018,$0.00,0.00%,n/a,1,0.00%,,,,,,,,,
12/15/2018,$0.00,0.00%,n/a,1,0.00%,,,,,,,,,
12/14/2018,($2200.00),-2.21%,0,1,0.00%,,,,,,,,,
12/13/2018,($350.00),-0.35%,0,1,0.00%,,,,,,,,,
12/12/2018,$562.50,0.57%,n/a,1,100.00%,,,,,,,,,
12/11/2018,($87.50),-0.09%,0,1,0.00%,,,,,,,,,
12/10/2018,$350.00,0.35%,n/a,1,100.00%,,,,,,,,,
12/09/2018,$535.00,0.54%,n/a,1,100.00%,,,,,,,,,
12/06/2018,($2627.50),-2.59%,0,1,0.00%,,,,,,,,,
12/05/2018,$0.00,0.00%,n/a,1,0.00%,,,,,,,,,
12/04/2018,$97.50,0.10%,n/a,1,100.00%,,,,,,,,,
11/30/2018,$760.00,0.76%,n/a,1,100.00%,,,,,,,,,
11/29/2018,$137.50,0.14%,n/a,1,100.00%,,,,,,,,,
11/28/2018,$2900.00,2.98%,n/a,1,100.00%,,,,,,,,,
11/27/2018,$675.00,0.70%,n/a,1,100.00%,,,,,,,,,
11/26/2018,$2025.00,2.14%,n/a,1,100.00%,,,,,,,,,
11/25/2018,$0.00,0.00%,n/a,1,0.00%,,,,,,,,,
11/24/2018,$0.00,0.00%,n/a,1,0.00%,,,,,,,,,
11/23/2018,($975.00),-1.02%,0,1,0.00%,,,,,,,,,
11/22/2018,$0.00,0.00%,n/a,1,0.00%,,,,,,,,,
11/21/2018,$450.00,0.47%,n/a,1,100.00%,,,,,,,,,
11/20/2018,($3017.50),-3.07%,0,2,0.00%,,,,,,,,,
11/19/2018,($15.00),-0.02%,0,1,0.00%,,,,,,,,,
11/15/2018,($1377.50),-1.38%,0,1,0.00%,,,,,,,,,
11/14/2018,($1450.00),-1.43%,0,1,0.00%,,,,,,,,,
11/13/2018,($202.50),-0.20%,0,1,0.00%,,,,,,,,,
09/10/2018,$235.00,0.23%,n/a,1,100.00%,,,,,,,,,
09/09/2018,$0.00,0.00%,n/a,1,0.00%,,,,,,,,,
09/08/2018,$0.00,0.00%,n/a,1,0.00%,,,,,,,,,
09/07/2018,($212.50),-0.21%,0,1,0.00%,,,,,,,,,
09/06/2018,($462.50),-0.45%,0,1,0.00%,,,,,,,,,
09/05/2018,($500.00),-0.49%,0,1,0.00%,,,,,,,,,
09/04/2018,($187.50),-0.18%,0,1,0.00%,,,,,,,,,
09/03/2018,$0.00,0.00%,n/a,1,0.00%,,,,,,,,,
09/02/2018,$0.00,0.00%,n/a,1,0.00%,,,,,,,,,
09/01/2018,$0.00,0.00%,n/a,1,0.00%,,,,,,,,,
8/31/2018,$0.00,0.00%,n/a,1,0.00%,,,,,,,,,
8/30/2018,($637.50),-0.62%,0,1,0.00%,,,,,,,,,
8/29/2018,$775.00,0.76%,n/a,1,100.00%,,,,,,,,,
8/28/2018,$37.50,0.04%,n/a,1,100.00%,,,,,,,,,
8/27/2018,$1087.50,1.07%,n/a,1,100.00%,,,,,,,,,
8/26/2018,$0.00,0.00%,n/a,1,0.00%,,,,,,,,,
8/25/2018,$0.00,0.00%,n/a,1,0.00%,,,,,,,,,
8/24/2018,$937.50,0.94%,n/a,1,100.00%,,,,,,,,,
8/23/2018,($27.50),-0.03%,0,1,0.00%,,,,,,,,,
8/14/2018,$797.50,0.80%,n/a,1,100.00%,,,,,,,,,
8/13/2018,($562.50),-0.56%,0,1,0.00%,,,,,,,,,
08/12/2018,$35.00,0.04%,n/a,1,100.00%,,270,,,,,,,
,,,,,,,,,,,,,,
Mark-To-Market Rolling Period Analysis:,,,,,,,,,,,,,,
Period,Net Profit,% Gain,Profit Factor,# Trades,% Profitable,,,,,,,,,
5/12/2023 - 5/12/2023,($287.50),-0.14%,0,1,0.00%,,,,,,,,,
5/11/2023 - 5/12/2023,($340.00),-0.16%,0,1,0.00%,,,,,,,,,
5/10/2023 - 5/12/2023,($340.00),-0.16%,0,1,0.00%,,,,,,,,,
5/9/2023 - 5/12/2023,($340.00),-0.16%,0,1,0.00%,,,,,,,,,
5/8/2023 - 5/12/2023,($340.00),-0.16%,0,1,0.00%,,,,,,,,,
5/7/2023 - 5/12/2023,($340.00),-0.16%,0,1,0.00%,,,,,,,,,
5/6/2023 - 5/12/2023,($340.00),-0.16%,0,1,0.00%,,,,,,,,,
5/5/2023 - 5/12/2023,($340.00),-0.16%,0,1,0.00%,,,,,,,,,
5/4/2023 - 5/12/2023,($340.00),-0.16%,0,1,0.00%,,,,,,,,,
5/3/2023 - 5/12/2023,($3005.00),-1.42%,0,2,0.00%,,,,,,,,,
5/2/2023 - 5/12/2023,($2870.00),-1.35%,0,2,0.00%,,,,,,,,,
5/1/2023 - 5/12/2023,($2870.00),-1.35%,0,2,0.00%,,,,,,,,,
4/30/2023 - 5/12/2023,($2870.00),-1.35%,0,2,0.00%,,,,,,,,,
4/29/2023 - 5/12/2023,($2870.00),-1.35%,0,2,0.00%,,,,,,,,,
4/28/2023 - 5/12/2023,($2870.00),-1.35%,0,2,0.00%,,,,,,,,,
4/27/2023 - 5/12/2023,$865.00,0.42%,1.3,3,33.33%,,,,,,,,,
4/26/2023 - 5/12/2023,$2.50,0.00%,1,3,33.33%,,,,,,,,,
4/25/2023 - 5/12/2023,($862.50),-0.41%,0.7,3,33.33%,,,,,,,,,
4/24/2023 - 5/12/2023,($862.50),-0.41%,0.7,3,33.33%,,,,,,,,,
4/23/2023 - 5/12/2023,($862.50),-0.41%,0.7,3,33.33%,,,,,,,,,
4/22/2023 - 5/12/2023,($862.50),-0.41%,0.7,3,33.33%,,,,,,,,,
4/21/2023 - 5/12/2023,($862.50),-0.41%,0.7,3,33.33%,,,,,,,,,
4/20/2023 - 5/12/2023,($862.50),-0.41%,0.7,3,33.33%,,,,,,,,,
4/19/2023 - 5/12/2023,($862.50),-0.41%,0.7,3,33.33%,,,,,,,,,
4/18/2023 - 5/12/2023,($862.50),-0.41%,0.7,3,33.33%,,,,,,,,,
4/17/2023 - 5/12/2023,($215.00),-0.10%,0.93,4,50.00%,,,,,,,,,
4/16/2023 - 5/12/2023,($215.00),-0.10%,0.93,4,50.00%,,,,,,,,,
4/15/2023 - 5/12/2023,($215.00),-0.10%,0.93,4,50.00%,,,,,,,,,
4/14/2023 - 5/12/2023,($665.00),-0.32%,0.77,4,50.00%,,,,,,,,,
4/13/2023 - 5/12/2023,$2022.50,0.98%,1.7,4,50.00%,,,,,,,,,
4/12/2023 - 5/12/2023,$1147.50,0.55%,1.4,4,50.00%,,,,,,,,,
4/11/2023 - 5/12/2023,$1160.00,0.56%,1.4,4,50.00%,,,,,,,,,
4/10/2023 - 5/12/2023,$1372.50,0.66%,1.48,4,50.00%,,,,,,,,,
4/9/2023 - 5/12/2023,$1372.50,0.66%,1.48,4,50.00%,,,,,,,,,
4/8/2023 - 5/12/2023,$1372.50,0.66%,1.48,4,50.00%,,,,,,,,,
4/7/2023 - 5/12/2023,$1372.50,0.66%,1.48,4,50.00%,,,,,,,,,
4/6/2023 - 5/12/2023,$2110.00,1.02%,1.74,4,50.00%,,,,,,,,,
4/5/2023 - 5/12/2023,$1522.50,0.73%,1.53,4,50.00%,,,,,,,,,
4/4/2023 - 5/12/2023,$1257.50,0.61%,1.44,4,50.00%,,,,,,,,,
4/3/2023 - 5/12/2023,$1257.50,0.61%,1.44,4,50.00%,,,,,,,,,
4/2/2023 - 5/12/2023,$1257.50,0.61%,1.44,4,50.00%,,,,,,,,,
4/1/2023 - 5/12/2023,$1257.50,0.61%,1.44,4,50.00%,,,,,,,,,
3/31/2023 - 5/12/2023,$2867.50,1.39%,2,5,60.00%,,,,,,,,,
3/30/2023 - 5/12/2023,$3992.50,1.95%,2.39,5,60.00%,,,,,,,,,
3/29/2023 - 5/12/2023,$6792.50,3.36%,3.37,5,60.00%,,,,,,,,,
3/28/2023 - 5/12/2023,$6505.00,3.21%,3.27,5,60.00%,,,,,,,,,
3/27/2023 - 5/12/2023,$6805.00,3.37%,3.37,5,60.00%,,,,,,,,,
3/26/2023 - 5/12/2023,$6805.00,3.37%,3.37,5,60.00%,,,,,,,,,
3/25/2023 - 5/12/2023,$6805.00,3.37%,3.37,5,60.00%,,,,,,,,,
3/24/2023 - 5/12/2023,$7967.50,3.96%,3.78,5,60.00%,,,,,,,,,
3/23/2023 - 5/12/2023,$8342.50,4.16%,3.91,5,60.00%,,,,,,,,,
3/22/2023 - 5/12/2023,$8227.50,4.10%,3.87,5,60.00%,,,,,,,,,
3/21/2023 - 5/12/2023,$8227.50,4.10%,3.87,5,60.00%,,,,,,,,,
3/20/2023 - 5/12/2023,$6550.00,3.24%,2.44,6,50.00%,,,,,,,,,
3/19/2023 - 5/12/2023,$5697.50,2.80%,2.06,6,50.00%,,,,,,,,,
3/18/2023 - 5/12/2023,$5697.50,2.80%,2.06,6,50.00%,,,,,,,,,
3/17/2023 - 5/12/2023,$5697.50,2.80%,2.06,6,50.00%,,,,,,,,,
3/16/2023 - 5/12/2023,$5697.50,2.80%,2.06,6,50.00%,,,,,,,,,
3/15/2023 - 5/12/2023,$5697.50,2.80%,2.06,6,50.00%,,,,,,,,,
3/14/2023 - 5/12/2023,$5697.50,2.80%,2.06,6,50.00%,,,,,,,,,
3/13/2023 - 5/12/2023,$5697.50,2.80%,2.06,6,50.00%,,,,,,,,,
3/12/2023 - 5/12/2023,$5697.50,2.80%,2.06,6,50.00%,,,,,,,,,
3/11/2023 - 5/12/2023,$5697.50,2.80%,2.06,6,50.00%,,,,,,,,,
3/10/2023 - 5/12/2023,$5697.50,2.80%,2.06,6,50.00%,,,,,,,,,
3/9/2023 - 5/12/2023,$5697.50,2.80%,2.06,6,50.00%,,,,,,,,,
