

Performance Summary

,All Trades,Long Trades,Short Trades,
27/10/2015,($80.00),-0.06%,0.00,1,0.00%,
20/10/2015,($11.25),-0.01%,0.00,1,0.00%,
19/10/2015,($300.00),-0.24%,0.00,1,0.00%,
18/10/2015,$262.50,0.21%,n/a,1,100.00%,
17/10/2015,$0.00,0.00%,n/a,1,0.00%,
16/10/2015,($225.00),-0.18%,0.00,1,0.00%,
15/10/2015,($137.50),-0.11%,0.00,1,0.00%,
14/10/2015,$418.75,0.33%,n/a,1,100.00%,
13/10/2015,$275.00,0.22%,n/a,1,100.00%,
12/10/2015,($47.50),-0.04%,0.36,2,50.00%,
11/10/2015,($75.00),-0.06%,0.00,1,0.00%,
10/10/2015,$0.00,0.00%,n/a,1,0.00%,
09/10/2015,$250.00,0.20%,n/a,1,100.00%,
08/10/2015,$18.75,0.02%,n/a,1,100.00%,
07/10/2015,($312.50),-0.25%,0.00,1,0.00%,
06/10/2015,($100.00),-0.08%,0.00,1,0.00%,
05/10/2015,$475.00,0.38%,n/a,1,100.00%,
04/10/2015,($6.25),-0.01%,0.00,1,0.00%,
03/10/2015,$0.00,0.00%,n/a,1,0.00%,
02/10/2015,($62.50),-0.05%,0.00,1,0.00%,
01/10/2015,($68.75),-0.06%,0.00,1,0.00%,
30/09/2015,$156.25,0.13%,n/a,1,100.00%,
29/09/2015,$156.25,0.13%,n/a,1,100.00%,
28/09/2015,($556.25),-0.45%,0.00,1,0.00%,
27/09/2015,($193.75),-0.15%,0.00,1,0.00%,
26/09/2015,$0.00,0.00%,n/a,1,0.00%,
25/09/2015,$381.25,0.31%,n/a,1,100.00%,
24/09/2015,($6.25),-0.01%,0.00,1,0.00%,
23/09/2015,$343.75,0.28%,n/a,1,100.00%,
22/09/2015,($462.50),-0.37%,0.00,1,0.00%,
21/09/2015,$443.75,0.36%,n/a,1,100.00%,
20/09/2015,($87.50),-0.07%,0.00,1,0.00%,
19/09/2015,$0.00,0.00%,n/a,1,0.00%,
18/09/2015,($125.00),-0.10%,0.00,1,0.00%,
17/09/2015,($318.75),-0.25%,0.00,1,0.00%,
16/09/2015,$112.50,0.09%,n/a,1,100.00%,
15/09/2015,($143.75),-0.11%,0.00,1,0.00%,
14/09/2015,($112.50),-0.09%,0.00,1,0.00%,
13/09/2015,$18.75,0.01%,n/a,1,100.00%,
12/09/2015,$0.00,0.00%,n/a,1,0.00%,
11/09/2015,($150.00),-0.12%,0.00,1,0.00%,
10/09/2015,$412.50,0.33%,n/a,1,100.00%,
09/09/2015,$18.75,0.02%,n/a,1,100.00%,
08/09/2015,$151.25,0.12%,n/a,1,100.00%,
04/09/2015,($711.25),-0.57%,0.00,1,0.00%,
03/09/2015,($525.00),-0.42%,0.00,1,0.00%,
02/09/2015,$156.25,0.12%,n/a,1,100.00%,
01/09/2015,($431.25),-0.34%,0.00,1,0.00%,
31/08/2015,($337.50),-0.27%,0.00,1,0.00%,
30/08/2015,($437.50),-0.34%,0.00,1,0.00%,
29/08/2015,$0.00,0.00%,n/a,1,0.00%,
28/08/2015,$475.00,0.38%,n/a,1,100.00%,
27/08/2015,$782.50,0.62%,n/a,1,100.00%,
24/08/2015,$3026.25,2.47%,n/a,1,100.00%,
23/08/2015,$581.25,0.48%,n/a,1,100.00%,
22/08/2015,$0.00,0.00%,n/a,1,0.00%,
21/08/2015,$1056.25,0.87%,n/a,1,100.00%,
20/08/2015,$512.50,0.43%,n/a,1,100.00%,
19/08/2015,$312.50,0.26%,n/a,1,100.00%,
18/08/2015,$81.25,0.07%,n/a,1,100.00%,
17/08/2015,($25.00),-0.02%,0.00,1,0.00%,
16/08/2015,($31.25),-0.03%,0.00,1,0.00%,
15/08/2015,$0.00,0.00%,n/a,1,0.00%,
14/08/2015,$81.25,0.07%,n/a,1,100.00%,
13/08/2015,($62.50),-0.05%,0.00,1,0.00%,
12/08/2015,$650.00,0.54%,n/a,1,100.00%,
11/08/2015,($268.75),-0.22%,0.00,1,0.00%,
10/08/2015,($450.00),-0.37%,0.00,1,0.00%,
09/08/2015,($100.00),-0.08%,0.00,1,0.00%,
08/08/2015,$0.00,0.00%,n/a,1,0.00%,
07/08/2015,($23.75),-0.02%,0.00,1,0.00%,
05/08/2015,($11.25),-0.01%,0.00,1,0.00%,
04/08/2015,($268.75),-0.22%,0.00,1,0.00%,
03/08/2015,($93.75),-0.08%,0.00,1,0.00%,
02/08/2015,($87.50),-0.07%,0.00,1,0.00%,
01/08/2015,$0.00,0.00%,n/a,1,0.00%,
31/07/2015,$150.00,0.12%,n/a,1,100.00%,
30/07/2015,$106.25,0.09%,n/a,1,100.00%,
29/07/2015,($662.50),-0.55%,0.00,1,0.00%,
28/07/2015,($218.75),-0.18%,0.00,1,0.00%,
27/07/2015,$456.25,0.38%,n/a,1,100.00%,
26/07/2015,$100.00,0.08%,n/a,1,100.00%,
25/07/2015,$0.00,0.00%,n/a,1,0.00%,
24/07/2015,$106.25,0.09%,n/a,1,100.00%,
23/07/2015,$118.75,0.10%,n/a,1,100.00%,
22/07/2015,($306.25),-0.25%,0.00,1,0.00%,
21/07/2015,$113.75,0.09%,n/a,1,100.00%,
08/07/2015,($936.25),-0.77%,0.00,1,0.00%,
07/07/2015,($425.00),-0.35%,0.00,1,0.00%,
06/07/2015,$6.25,0.01%,n/a,1,100.00%,
05/07/2015,($56.25),-0.05%,0.00,1,0.00%,
04/07/2015,$0.00,0.00%,n/a,1,0.00%,
03/07/2015,($187.50),-0.15%,0.00,1,0.00%,
02/07/2015,($393.75),-0.32%,0.00,1,0.00%,
01/07/2015,$781.25,0.64%,n/a,1,100.00%,
30/06/2015,$37.50,0.03%,n/a,1,100.00%,
29/06/2015,($587.50),-0.48%,0.00,1,0.00%,
28/06/2015,($575.00),-0.47%,0.00,1,0.00%,
27/06/2015,$0.00,0.00%,n/a,1,0.00%,
26/06/2015,$400.00,0.33%,n/a,1,100.00%,
25/06/2015,($393.75),-0.32%,0.00,1,0.00%,
24/06/2015,$6.25,0.01%,n/a,1,100.00%,
23/06/2015,$212.50,0.17%,n/a,1,100.00%,
22/06/2015,$750.00,0.61%,n/a,1,100.00%,
21/06/2015,$62.50,0.05%,n/a,1,100.00%,
20/06/2015,$0.00,0.00%,n/a,1,0.00%,
19/06/2015,($262.50),-0.21%,0.00,1,0.00%,
18/06/2015,($237.50),-0.19%,0.00,1,0.00%,
17/06/2015,($100.00),-0.08%,0.00,1,0.00%,
16/06/2015,($137.50),-0.11%,0.00,1,0.00%,
15/06/2015,$50.00,0.04%,n/a,1,100.00%,
14/06/2015,$25.00,0.02%,n/a,1,100.00%,
13/06/2015,$0.00,0.00%,n/a,1,0.00%,
12/06/2015,($230.00),-0.19%,0.00,1,0.00%,
10/06/2015,($1355.00),-1.09%,0.00,1,0.00%,
09/06/2015,($75.00),-0.06%,0.00,1,0.00%,
08/06/2015,($687.50),-0.55%,0.00,1,0.00%,
07/06/2015,($212.50),-0.17%,0.00,1,0.00%,
06/06/2015,$0.00,0.00%,n/a,1,0.00%,
05/06/2015,$912.50,0.73%,n/a,1,100.00%,
04/06/2015,($50.00),-0.04%,0.00,1,0.00%,
03/06/2015,$537.50,0.43%,n/a,1,100.00%,
02/06/2015,($205.00),-0.17%,0.00,1,0.00%,
26/05/2015,$982.50,0.80%,n/a,1,100.00%,
25/05/2015,$37.50,0.03%,n/a,1,100.00%,
24/05/2015,$162.50,0.13%,n/a,1,100.00%,
23/05/2015,$0.00,0.00%,n/a,1,0.00%,
22/05/2015,$525.00,0.43%,n/a,1,100.00%,
21/05/2015,($262.50),-0.21%,0.00,1,0.00%,
20/05/2015,$300.00,0.24%,n/a,1,100.00%,
19/05/2015,$787.50,0.65%,n/a,1,100.00%,
18/05/2015,$200.00,0.16%,n/a,1,100.00%,
17/05/2015,$412.50,0.34%,n/a,1,100.00%,
16/05/2015,$0.00,0.00%,n/a,1,0.00%,
15/05/2015,($137.50),-0.11%,0.00,1,0.00%,
14/05/2015,$187.50,0.15%,n/a,1,100.00%,
13/05/2015,($525.00),-0.43%,0.00,1,0.00%,
12/05/2015,($312.50),-0.26%,0.00,1,0.00%,
11/05/2015,$287.50,0.24%,n/a,1,100.00%,
10/05/2015,($87.50),-0.07%,0.00,1,0.00%,
09/05/2015,$0.00,0.00%,n/a,1,0.00%,
08/05/2015,$12.50,0.01%,n/a,1,100.00%,
07/05/2015,$325.00,0.27%,n/a,1,100.00%,
06/05/2015,($325.00),-0.27%,0.00,1,0.00%,
05/05/2015,($225.00),-0.18%,0.00,1,0.00%,
04/05/2015,$50.00,0.04%,n/a,1,100.00%,
03/05/2015,($62.50),-0.05%,0.00,1,0.00%,
02/05/2015,$0.00,0.00%,n/a,1,0.00%,
01/05/2015,$462.50,0.38%,n/a,1,100.00%,
30/04/2015,$700.00,0.58%,n/a,1,100.00%,
29/04/2015,$25.00,0.02%,n/a,1,100.00%,
28/04/2015,($212.50),-0.18%,0.00,1,0.00%,
27/04/2015,$150.00,0.12%,n/a,1,100.00%,
26/04/2015,($12.50),-0.01%,0.00,1,0.00%,
25/04/2015,$0.00,0.00%,n/a,1,0.00%,
24/04/2015,($525.00),-0.43%,0.00,1,0.00%,
23/04/2015,($437.50),-0.36%,0.00,1,0.00%,
22/04/2015,$337.50,0.28%,n/a,1,100.00%,
21/04/2015,$150.00,0.12%,n/a,1,100.00%,
20/04/2015,($247.50),-0.20%,0.19,2,50.00%,
19/04/2015,$12.50,0.01%,n/a,1,100.00%,
18/04/2015,$0.00,0.00%,n/a,1,0.00%,
17/04/2015,($112.50),-0.09%,0.00,1,0.00%,
16/04/2015,$112.50,0.09%,n/a,1,100.00%,
15/04/2015,($600.00),-0.49%,0.00,1,0.00%,
14/04/2015,($237.50),-0.19%,0.00,1,0.00%,
13/04/2015,($275.00),-0.22%,0.00,1,0.00%,
12/04/2015,($25.00),-0.02%,0.00,1,0.00%,
11/04/2015,$0.00,0.00%,n/a,1,0.00%,
10/04/2015,($262.50),-0.21%,0.00,1,0.00%,
09/04/2015,$200.00,0.16%,n/a,1,100.00%,
08/04/2015,$125.00,0.10%,n/a,1,100.00%,
07/04/2015,$525.00,0.43%,n/a,1,100.00%,
06/04/2015,$412.50,0.34%,n/a,1,100.00%,
05/04/2015,$175.00,0.14%,n/a,1,100.00%,
04/04/2015,$0.00,0.00%,n/a,1,0.00%,
03/04/2015,($675.00),-0.55%,0.00,1,0.00%,
02/04/2015,$62.50,0.05%,n/a,1,100.00%,
01/04/2015,$50.00,0.04%,n/a,1,100.00%,
31/03/2015,($537.50),-0.44%,0.00,1,0.00%,
30/03/2015,$432.50,0.35%,n/a,1,100.00%,
26/03/2015,($417.50),-0.34%,0.00,1,0.00%,
25/03/2015,($287.50),-0.23%,0.00,1,0.00%,
24/03/2015,($62.50),-0.05%,0.00,1,0.00%,
23/03/2015,($212.50),-0.17%,0.00,1,0.00%,
22/03/2015,($12.50),-0.01%,0.00,1,0.00%,
21/03/2015,$0.00,0.00%,n/a,1,0.00%,
20/03/2015,($550.00),-0.44%,0.00,1,0.00%,
19/03/2015,$512.50,0.42%,n/a,1,100.00%,
18/03/2015,($1062.50),-0.86%,0.00,1,0.00%,
17/03/2015,($87.50),-0.07%,0.00,1,0.00%,
16/03/2015,($72.50),-0.06%,0.31,2,50.00%,
15/03/2015,($100.00),-0.08%,0.00,1,0.00%,
14/03/2015,$0.00,0.00%,n/a,1,0.00%,
13/03/2015,($12.50),-0.01%,0.00,1,0.00%,
12/03/2015,($162.50),-0.13%,0.00,1,0.00%,
11/03/2015,$225.00,0.18%,n/a,1,100.00%,
10/03/2015,($312.50),-0.25%,0.00,1,0.00%,
09/03/2015,$812.50,0.66%,n/a,1,100.00%,
08/03/2015,($75.00),-0.06%,0.00,1,0.00%,
07/03/2015,$0.00,0.00%,n/a,1,0.00%,
06/03/2015,$725.00,0.59%,n/a,1,100.00%,
05/03/2015,$162.50,0.13%,n/a,1,100.00%,
04/03/2015,$175.00,0.14%,n/a,1,100.00%,
03/03/2015,($50.00),-0.04%,0.00,1,0.00%,
02/03/2015,($175.00),-0.14%,0.00,1,0.00%,
01/03/2015,$137.50,0.11%,n/a,1,100.00%,
28/02/2015,$0.00,0.00%,n/a,1,0.00%,
27/02/2015,$400.00,0.33%,n/a,1,100.00%,
26/02/2015,$325.00,0.27%,n/a,1,100.00%,
25/02/2015,$187.50,0.15%,n/a,1,100.00%,
24/02/2015,($350.00),-0.29%,0.00,1,0.00%,
23/02/2015,$50.00,0.04%,n/a,1,100.00%,
22/02/2015,$100.00,0.08%,n/a,1,100.00%,
21/02/2015,$0.00,0.00%,n/a,1,0.00%,
20/02/2015,$12.50,0.01%,n/a,1,100.00%,
19/02/2015,$300.00,0.25%,n/a,1,100.00%,
18/02/2015,($550.00),-0.45%,0.00,1,0.00%,
17/02/2015,($117.50),-0.10%,0.00,1,0.00%,
12/02/2015,($967.50),-0.78%,0.00,1,0.00%,
11/02/2015,$600.00,0.49%,n/a,1,100.00%,
10/02/2015,$925.00,0.76%,n/a,1,100.00%,
09/02/2015,($225.00),-0.18%,0.00,1,0.00%,
08/02/2015,($375.00),-0.31%,0.00,1,0.00%,
07/02/2015,$0.00,0.00%,n/a,1,0.00%,
06/02/2015,$1575.00,1.30%,n/a,1,100.00%,
05/02/2015,$212.50,0.18%,n/a,1,100.00%,
04/02/2015,($705.00),-0.58%,0.00,1,0.00%,
02/02/2015,($592.50),-0.48%,0.00,1,0.00%,
01/02/2015,$237.50,0.19%,n/a,1,100.00%,
31/01/2015,$0.00,0.00%,n/a,1,0.00%,
30/01/2015,($387.50),-0.32%,0.00,1,0.00%,
29/01/2015,($37.50),-0.03%,0.00,1,0.00%,
28/01/2015,($100.00),-0.08%,0.00,1,0.00%,
27/01/2015,($137.50),-0.11%,0.00,1,0.00%,
26/01/2015,$587.50,0.48%,n/a,1,100.00%,
25/01/2015,($175.00),-0.14%,0.00,1,0.00%,
24/01/2015,$0.00,0.00%,n/a,1,0.00%,
23/01/2015,($525.00),-0.43%,0.00,1,0.00%,
22/01/2015,$287.50,0.23%,n/a,1,100.00%,
21/01/2015,($175.00),-0.14%,0.00,1,0.00%,
20/01/2015,$37.50,0.03%,n/a,1,100.00%,
19/01/2015,$975.00,0.80%,n/a,1,100.00%,
18/01/2015,($387.50),-0.32%,0.00,1,0.00%,
17/01/2015,$0.00,0.00%,n/a,1,0.00%,
16/01/2015,$1487.50,1.23%,n/a,1,100.00%,
15/01/2015,($1625.00),-1.33%,0.00,1,0.00%,
14/01/2015,$250.00,0.21%,n/a,1,100.00%,
13/01/2015,($450.00),-0.37%,0.00,1,0.00%,
12/01/2015,($400.00),-0.33%,0.00,1,0.00%,
11/01/2015,($125.00),-0.10%,0.00,1,0.00%,
10/01/2015,$0.00,0.00%,n/a,1,0.00%,
09/01/2015,($837.50),-0.68%,0.00,1,0.00%,
08/01/2015,($200.00),-0.16%,0.00,1,0.00%,
07/01/2015,$575.00,0.47%,n/a,1,100.00%,
06/01/2015,($225.00),-0.18%,0.00,1,0.00%,
05/01/2015,($862.50),-0.69%,0.00,1,0.00%,
04/01/2015,($100.00),-0.08%,0.00,1,0.00%,
03/01/2015,$0.00,0.00%,n/a,1,0.00%,
02/01/2015,$57.50,0.05%,n/a,1,100.00%,
30/12/2014,($1192.50),-0.95%,0.00,1,0.00%,
29/12/2014,$12.50,0.01%,n/a,1,100.00%,
28/12/2014,$50.00,0.04%,n/a,1,100.00%,
27/12/2014,$0.00,0.00%,n/a,1,0.00%,
26/12/2014,$175.00,0.14%,n/a,1,100.00%,
25/12/2014,($212.50),-0.17%,0.00,1,0.00%,
24/12/2014,$37.50,0.03%,n/a,1,100.00%,
23/12/2014,$250.00,0.20%,n/a,1,100.00%,
22/12/2014,$662.50,0.53%,n/a,1,100.00%,
21/12/2014,($175.00),-0.14%,0.00,1,0.00%,
20/12/2014,$0.00,0.00%,n/a,1,0.00%,
19/12/2014,$487.50,0.39%,n/a,1,100.00%,
18/12/2014,$387.50,0.31%,n/a,1,100.00%,
17/12/2014,($242.50),-0.20%,0.00,1,0.00%,
16/12/2014,$1070.00,0.87%,n/a,1,100.00%,
15/12/2014,$962.50,0.79%,n/a,1,100.00%,
14/12/2014,$12.50,0.01%,n/a,1,100.00%,
13/12/2014,$0.00,0.00%,n/a,1,0.00%,
12/12/2014,$100.00,0.08%,n/a,1,100.00%,
11/12/2014,($700.00),-0.57%,0.00,1,0.00%,
10/12/2014,$1212.50,1.00%,n/a,1,100.00%,
09/12/2014,$357.50,0.29%,n/a,1,100.00%,
08/12/2014,($242.50),-0.20%,0.00,1,0.00%,
07/12/2014,$137.50,0.11%,n/a,1,100.00%,
06/12/2014,$0.00,0.00%,n/a,1,0.00%,
05/12/2014,$1350.00,1.13%,n/a,1,100.00%,
04/12/2014,($37.50),-0.03%,0.00,1,0.00%,
03/12/2014,$462.50,0.39%,n/a,1,100.00%,
02/12/2014,$837.50,0.71%,n/a,1,100.00%,
01/12/2014,($400.00),-0.34%,0.00,1,0.00%,
30/11/2014,$150.00,0.13%,n/a,1,100.00%,
29/11/2014,$0.00,0.00%,n/a,1,0.00%,
28/11/2014,$437.50,0.37%,n/a,1,100.00%,
27/11/2014,$612.50,0.52%,n/a,1,100.00%,
26/11/2014,($225.00),-0.19%,0.00,1,0.00%,
25/11/2014,($355.00),-0.30%,0.00,1,0.00%,
20/11/2014,$95.00,0.08%,n/a,1,100.00%,
19/11/2014,$912.50,0.78%,n/a,1,100.00%,
18/11/2014,$587.50,0.50%,n/a,1,100.00%,
17/11/2014,$662.50,0.57%,n/a,1,100.00%,
16/11/2014,($425.00),-0.36%,0.00,1,0.00%,
15/11/2014,$0.00,0.00%,n/a,1,0.00%,
14/11/2014,$187.50,0.16%,n/a,1,100.00%,
13/11/2014,$450.00,0.39%,n/a,1,100.00%,
12/11/2014,$75.00,0.06%,n/a,1,100.00%,
11/11/2014,$700.00,0.61%,n/a,1,100.00%,
10/11/2014,($105.00),-0.09%,0.00,1,0.00%,
28/10/2014,($242.50),-0.21%,0.00,1,0.00%,
27/10/2014,$125.00,0.11%,n/a,1,100.00%,
26/10/2014,$187.50,0.16%,n/a,1,100.00%,
25/10/2014,$0.00,0.00%,n/a,1,0.00%,
24/10/2014,($137.50),-0.12%,0.00,1,0.00%,
23/10/2014,($850.00),-0.73%,0.00,1,0.00%,
22/10/2014,($375.00),-0.32%,0.00,1,0.00%,
21/10/2014,($580.00),-0.49%,0.00,1,0.00%,
19/10/2014,($180.00),-0.15%,0.00,1,0.00%,
18/10/2014,$0.00,0.00%,n/a,1,0.00%,
17/10/2014,($600.00),-0.51%,0.00,1,0.00%,
16/10/2014,($362.50),-0.31%,0.00,1,0.00%,
15/10/2014,$1200.00,1.02%,n/a,1,100.00%,
14/10/2014,$112.50,0.10%,n/a,1,100.00%,
13/10/2014,($50.00),-0.04%,0.00,1,0.00%,
12/10/2014,$525.00,0.45%,n/a,1,100.00%,
11/10/2014,$0.00,0.00%,n/a,1,0.00%,
10/10/2014,$175.00,0.15%,n/a,1,100.00%,
09/10/2014,$312.50,0.27%,n/a,1,100.00%,
08/10/2014,$175.00,0.15%,n/a,1,100.00%,
07/10/2014,$837.50,0.73%,n/a,1,100.00%,
06/10/2014,$637.50,0.56%,n/a,1,100.00%,
05/10/2014,$112.50,0.10%,n/a,1,100.00%,
04/10/2014,$0.00,0.00%,n/a,1,0.00%,
03/10/2014,($937.50),-0.81%,0.00,1,0.00%,
02/10/2014,$62.50,0.05%,n/a,1,100.00%,
01/10/2014,$962.50,0.84%,n/a,1,100.00%,
30/09/2014,($487.50),-0.42%,0.00,1,0.00%,
29/09/2014,$50.00,0.04%,n/a,1,100.00%,
28/09/2014,($162.50),-0.14%,0.00,1,0.00%,
27/09/2014,$0.00,0.00%,n/a,1,0.00%,
26/09/2014,($612.50),-0.53%,0.00,1,0.00%,
25/09/2014,$450.00,0.39%,n/a,1,100.00%,
24/09/2014,($512.50),-0.44%,0.00,1,0.00%,
23/09/2014,($367.50),-0.32%,0.00,1,0.00%,
19/09/2014,($255.00),-0.22%,0.00,1,0.00%,
18/09/2014,$600.00,0.52%,n/a,1,100.00%,
17/09/2014,$1400.00,1.23%,n/a,1,100.00%,
16/09/2014,$250.00,0.22%,n/a,1,100.00%,
15/09/2014,($250.00),-0.22%,0.00,1,0.00%,
14/09/2014,($112.50),-0.10%,0.00,1,0.00%,
13/09/2014,$0.00,0.00%,n/a,1,0.00%,
12/09/2014,$100.00,0.09%,n/a,1,100.00%,
11/09/2014,$587.50,0.52%,n/a,1,100.00%,
10/09/2014,$512.50,0.45%,n/a,1,100.00%,
09/09/2014,$275.00,0.24%,n/a,1,100.00%,
08/09/2014,$1037.50,0.93%,n/a,1,100.00%,
07/09/2014,($25.00),-0.02%,0.00,1,0.00%,
06/09/2014,$0.00,0.00%,n/a,1,0.00%,
05/09/2014,$57.50,0.05%,n/a,1,100.00%,
03/09/2014,($405.00),-0.36%,0.00,1,0.00%,
02/09/2014,$562.50,0.50%,n/a,1,100.00%,
01/09/2014,$625.00,0.56%,n/a,1,100.00%,
31/08/2014,$100.00,0.09%,n/a,1,100.00%,
30/08/2014,$0.00,0.00%,n/a,1,0.00%,
29/08/2014,$412.50,0.37%,n/a,1,100.00%,
28/08/2014,($100.00),-0.09%,0.00,1,0.00%,
27/08/2014,($300.00),-0.27%,0.00,1,0.00%,
26/08/2014,$225.00,0.20%,n/a,1,100.00%,
25/08/2014,($112.50),-0.10%,0.00,1,0.00%,
24/08/2014,$0.00,0.00%,n/a,1,0.00%,
23/08/2014,$0.00,0.00%,n/a,1,0.00%,
22/08/2014,$50.00,0.05%,n/a,1,100.00%,
21/08/2014,($25.00),-0.02%,0.00,1,0.00%,
20/08/2014,$1175.00,1.07%,n/a,1,100.00%,
19/08/2014,$412.50,0.38%,n/a,1,100.00%,
18/08/2014,$325.00,0.30%,n/a,1,100.00%,
17/08/2014,($62.50),-0.06%,0.00,1,0.00%,
16/08/2014,$0.00,0.00%,n/a,1,0.00%,
15/08/2014,($150.00),-0.14%,0.00,1,0.00%,
14/08/2014,($100.00),-0.09%,0.00,1,0.00%,
13/08/2014,$362.50,0.33%,n/a,1,100.00%,
12/08/2014,($25.00),-0.02%,0.00,1,0.00%,
11/08/2014,$170.00,0.16%,n/a,1,100.00%,
06/08/2014,($230.00),-0.21%,0.00,1,0.00%,
05/08/2014,($25.00),-0.02%,0.00,1,0.00%,
04/08/2014,($87.50),-0.08%,0.00,1,0.00%,
03/08/2014,$50.00,0.05%,n/a,1,100.00%,
02/08/2014,$0.00,0.00%,n/a,1,0.00%,
01/08/2014,($287.50),-0.26%,0.00,1,0.00%,
31/07/2014,$87.50,0.08%,n/a,1,100.00%,
30/07/2014,$837.50,0.77%,n/a,1,100.00%,
29/07/2014,$262.50,0.24%,n/a,1,100.00%,
28/07/2014,$112.50,0.10%,n/a,1,100.00%,
27/07/2014,($50.00),-0.05%,0.00,1,0.00%,
26/07/2014,$0.00,0.00%,n/a,1,0.00%,
25/07/2014,$75.00,0.07%,n/a,1,100.00%,
24/07/2014,$275.00,0.26%,n/a,1,100.00%,
23/07/2014,$150.00,0.14%,n/a,1,100.00%,
22/07/2014,($75.00),-0.07%,0.00,1,0.00%,
21/07/2014,$262.50,0.24%,n/a,1,100.00%,
20/07/2014,($75.00),-0.07%,0.00,1,0.00%,
19/07/2014,$0.00,0.00%,n/a,1,0.00%,
18/07/2014,$100.00,0.09%,n/a,1,100.00%,
17/07/2014,($375.00),-0.35%,0.00,1,0.00%,
16/07/2014,($175.00),-0.16%,0.00,1,0.00%,
15/07/2014,$137.50,0.13%,n/a,1,100.00%,
14/07/2014,$107.50,0.10%,n/a,1,100.00%,
08/07/2014,($355.00),-0.33%,0.00,1,0.00%,
07/07/2014,($437.50),-0.40%,0.00,1,0.00%,
06/07/2014,$112.50,0.10%,n/a,1,100.00%,
05/07/2014,$0.00,0.00%,n/a,1,0.00%,
04/07/2014,($75.00),-0.07%,0.00,1,0.00%,
03/07/2014,$287.50,0.27%,n/a,1,100.00%,
02/07/2014,$350.00,0.33%,n/a,1,100.00%,
01/07/2014,$32.50,0.03%,n/a,1,100.00%,
25/06/2014,$45.00,0.04%,n/a,1,100.00%,
24/06/2014,($87.50),-0.08%,0.00,1,0.00%,
23/06/2014,$187.50,0.17%,n/a,1,100.00%,
22/06/2014,$112.50,0.10%,n/a,1,100.00%,
21/06/2014,$0.00,0.00%,n/a,1,0.00%,
20/06/2014,($300.00),-0.28%,0.00,1,0.00%,
19/06/2014,$125.00,0.12%,n/a,1,100.00%,
18/06/2014,$250.00,0.23%,n/a,1,100.00%,
17/06/2014,($112.50),-0.10%,0.00,1,0.00%,
16/06/2014,($262.50),-0.24%,0.00,1,0.00%,
15/06/2014,$225.00,0.21%,n/a,1,100.00%,
14/06/2014,$0.00,0.00%,n/a,1,0.00%,
13/06/2014,($287.50),-0.27%,0.00,1,0.00%,
12/06/2014,$300.00,0.28%,n/a,1,100.00%,
11/06/2014,$337.50,0.32%,n/a,1,100.00%,
10/06/2014,$62.50,0.06%,n/a,1,100.00%,
09/06/2014,$225.00,0.21%,n/a,1,100.00%,
08/06/2014,($125.00),-0.12%,0.00,1,0.00%,
07/06/2014,$0.00,0.00%,n/a,1,0.00%,
06/06/2014,($205.00),-0.19%,0.00,1,0.00%,
03/06/2014,($230.00),-0.21%,0.00,1,0.00%,
02/06/2014,($462.50),-0.43%,0.00,1,0.00%,
01/06/2014,($325.00),-0.30%,0.00,1,0.00%,
31/05/2014,$0.00,0.00%,n/a,1,0.00%,
30/05/2014,($150.00),-0.14%,0.00,1,0.00%,
29/05/2014,$75.00,0.07%,n/a,1,100.00%,
28/05/2014,$95.00,0.09%,n/a,1,100.00%,
23/05/2014,($230.00),-0.21%,0.00,1,0.00%,
22/05/2014,($337.50),-0.31%,0.00,1,0.00%,
21/05/2014,($250.00),-0.23%,0.00,1,0.00%,
20/05/2014,$375.00,0.35%,n/a,1,100.00%,
19/05/2014,($50.00),-0.05%,0.00,1,0.00%,
18/05/2014,($62.50),-0.06%,0.00,1,0.00%,
17/05/2014,$0.00,0.00%,n/a,1,0.00%,
16/05/2014,$62.50,0.06%,n/a,1,100.00%,
15/05/2014,$375.00,0.35%,n/a,1,100.00%,
14/05/2014,$412.50,0.38%,n/a,1,100.00%,
13/05/2014,$12.50,0.01%,n/a,1,100.00%,
12/05/2014,($300.00),-0.28%,0.00,1,0.00%,
11/05/2014,($162.50),-0.15%,0.00,1,0.00%,
10/05/2014,$0.00,0.00%,n/a,1,0.00%,
09/05/2014,($100.00),-0.09%,0.00,1,0.00%,
08/05/2014,$87.50,0.08%,n/a,1,100.00%,
07/05/2014,($300.00),-0.28%,0.00,1,0.00%,
06/05/2014,$662.50,0.61%,n/a,1,100.00%,
05/05/2014,($275.00),-0.25%,0.00,1,0.00%,
04/05/2014,$337.50,0.31%,n/a,1,100.00%,
03/05/2014,$0.00,0.00%,n/a,1,0.00%,
02/05/2014,$225.00,0.21%,n/a,1,100.00%,
01/05/2014,($187.50),-0.17%,0.00,1,0.00%,
30/04/2014,$337.50,0.31%,n/a,1,100.00%,
29/04/2014,($12.50),-0.01%,0.00,1,0.00%,
28/04/2014,($412.50),-0.38%,0.00,1,0.00%,
27/04/2014,$75.00,0.07%,n/a,1,100.00%,
26/04/2014,$0.00,0.00%,n/a,1,0.00%,
25/04/2014,$250.00,0.23%,n/a,1,100.00%,
24/04/2014,$62.50,0.06%,n/a,1,100.00%,
23/04/2014,($280.00),-0.26%,0.00,1,0.00%,
07/04/2014,($292.50),-0.27%,0.00,1,0.00%,
06/04/2014,$0.00,0.00%,n/a,1,0.00%,
05/04/2014,$0.00,0.00%,n/a,1,0.00%,
